Year;Tournament;Winner;id_h2h;h2h_player_1;h2h_player_2;h2h_player_1_win;h2h_player_2_win;h2h_player_1_score;h2h_player_2_score;h2h_match_number
2004;Miami Master;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;0;0;1
2005;Miami Master;Federer R.;Federer R. - Nadal R.;Federer R.; Nadal R.;1;0;0;1;2
2005;Roland Garros;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;1;1;3
2006;Dubai Championship;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;1;2;4
2006;Monte Carlo Master;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;1;3;5
2006;Rome Master;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;1;4;6
2006;Roland Garros;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;1;5;7
2006;Wimbledon;Federer R.;Federer R. - Nadal R.;Federer R.; Nadal R.;1;0;1;6;8
2006;Shanghai ATP Final;Federer R.;Federer R. - Nadal R.;Federer R.; Nadal R.;1;0;2;6;9
2007;Monte Carlo Master;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;3;6;10
2007;Hamburg Master;Federer R.;Federer R. - Nadal R.;Federer R.; Nadal R.;1;0;3;7;11
2007;Roland Garros;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;4;7;12
2007;Wimbledon;Federer R.;Federer R. - Nadal R.;Federer R.; Nadal R.;1;0;4;8;13
2007;Shanghai ATP Final;Federer R.;Federer R. - Nadal R.;Federer R.; Nadal R.;1;0;5;8;14
2008;Monte Carlo Master;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;6;8;15
2008;Hamburg Master;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;6;9;16
2008;Roland Garros;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;6;10;17
2008;Wimbledon;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;6;11;18
2009;Australian Open;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;6;12;19
2009;Madrid Master OC;Federer R.;Federer R. - Nadal R.;Federer R.; Nadal R.;1;0;6;13;20
2010;Madrid Master OC;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;7;13;21
2010;London ATP Final;Federer R.;Federer R. - Nadal R.;Federer R.; Nadal R.;1;0;7;14;22
2011;Miami Master;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;8;14;23
2011;Madrid Master OC;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;8;15;24
2011;Roland Garros;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;8;16;25
2011;London ATP Final;Federer R.;Federer R. - Nadal R.;Federer R.; Nadal R.;1;0;8;17;26
2012;Australian Open;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;9;17;27
2012;Indian Wells Master;Federer R.;Federer R. - Nadal R.;Federer R.; Nadal R.;1;0;9;18;28
2013;Indian Wells Master;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;10;18;29
2013;Rome Master;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;10;19;30
2013;Cincinnati Master;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;10;20;31
2013;London ATP Final;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;10;21;32
2014;Australian Open;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;10;22;33
2015;Basel Championship IH;Federer R.;Federer R. - Nadal R.;Federer R.; Nadal R.;1;0;10;23;34
2017;Australian Open;Federer R.;Federer R. - Nadal R.;Federer R.; Nadal R.;1;0;11;23;35
2017;Indian Wells Master;Federer R.;Federer R. - Nadal R.;Federer R.; Nadal R.;1;0;12;23;36
2017;Miami Master;Federer R.;Federer R. - Nadal R.;Federer R.; Nadal R.;1;0;13;23;37
2017;Shanghai Master;Federer R.;Federer R. - Nadal R.;Federer R.; Nadal R.;1;0;14;23;38
2019;Indian Wells Master;Federer R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;0;15;23;39
2019;Roland Garros;Nadal R.;Federer R. - Nadal R.;Federer R.; Nadal R.;0;1;15;23;39
2019;Wimbledon;Federer R.;Federer R. - Nadal R.;Federer R.; Nadal R.;1;0;15;24;40
