Date;Tournament;Round;Winner;Loser;target;player_A;player_B
23/01/2017;Australian Open;8th;Dimitrov G.;Istomin D.;0;Istomin D.;Dimitrov G.
23/01/2017;Australian Open;8th;Raonic M.;Bautista Agut R.;0;Bautista Agut R.;Raonic M.
23/01/2017;Australian Open;8th;Nadal R.;Monfils G.;0;Monfils G.;Nadal R.
24/01/2017;Australian Open;Q;Wawrinka S.;Tsonga J.W.;1;Wawrinka S.;Tsonga J.W.
24/01/2017;Australian Open;Q;Federer R.;Zverev M.;0;Zverev M.;Federer R.
25/01/2017;Australian Open;Q;Dimitrov G.;Goffin D.;0;Goffin D.;Dimitrov G.
25/01/2017;Australian Open;Q;Nadal R.;Raonic M.;1;Nadal R.;Raonic M.
26/01/2017;Australian Open;SF;Federer R.;Wawrinka S.;1;Federer R.;Wawrinka S.
27/01/2017;Australian Open;SF;Nadal R.;Dimitrov G.;0;Dimitrov G.;Nadal R.
29/01/2017;Australian Open;F;Federer R.;Nadal R.;0;Nadal R.;Federer R.
